StudentID,MathScore,PhysicsScore,ProgrammingScore,StudyHours,QuizScore
S001,85,72,90,6,88
S002,55,48,62,3,52
S003,92,88,95,8,94
S004,40,55,70,2,45
S005,78,65,80,5,75
S006,60,42,55,3,50
S007,95,90,88,9,92
S008,50,60,45,2,48
S009,70,75,68,5,72
S010,35,40,50,1,38
S011,88,80,92,7,85
S012,62,55,60,4,58
S013,45,38,42,2,40
S014,80,78,85,6,82
S015,55,65,72,4,60
S016,30,35,40,1,32
S017,90,85,78,8,88
S018,65,70,60,4,65
S019,75,68,80,5,74
S020,48,52,55,3,50
S021,82,76,88,6,80
S022,38,44,48,2,42
S023,93,91,96,9,95
S024,58,62,65,3,60
S025,72,68,75,5,70
